Original Word,Predicted Word,Probability,Is Match,Top 5 Predictions
analysis,footballer,0.314,False,footballer(0.314) | fan(0.187) | gamer(0.071) | professional(0.042) | player(0.017)
a,barcelona,0.587,False,barcelona(0.587) | racing(0.067) | ferrari(0.027) | valencia(0.015) | roma(0.014)
.,the,0.968,False,the(0.968) | a(0.013) | right(0.003) | every(0.001) | left(0.001)
prediction,.,0.919,False,".(0.919) | and(0.060) | ,(0.006) | but(0.003) | so(0.002)"
ur,",",0.596,False,",(0.596) | and(0.233) | .(0.068) | ##s(0.022) | with(0.006)"
mercedes,",",0.059,False,",(0.059) | search(0.053) | system(0.018) | app(0.017) | .(0.014)"
and,##r,0.042,False,##r(0.042) | ##e(0.038) | ##d(0.035) | ##s(0.032) | ##g(0.031)
boy,for,0.964,False,for(0.964) | in(0.005) | out(0.005) | my(0.003) | through(0.002)
holidays,a,0.031,False,a(0.031) | u(0.029) | e(0.025) | ing(0.023) | com(0.022)
for,job,0.163,False,job(0.163) | jobs(0.122) | program(0.051) | internship(0.033) | time(0.030)
